Prestamo;N° Clientes;ID;Edad (años); Ingreso anual ;Historial crediticio; Monto del prestamo ;Plazo del préstamo (años);N° de créditos previos;Empleo;Tasa de interes del prestamo (%)
1;1;1000;44; $19.067.897 ;1; $23.455.958 ;5;3;0;8
1;2;1001;59; $33.653.719 ;0; $23.401.867 ;4;1;2;17
1;3;1002;29; $26.337.981 ;0; $32.627.427 ;13;3;1;27
1;4;1003;53; $15.756.713 ;0; $19.323.465 ;10;2;0;16
1;5;1004;42; $19.657.693 ;0; $18.422.141 ;11;5;2;11
1;6;1005;33; $15.230.589 ;1; $22.945.833 ;16;5;2;18
1;7;1006;38; $16.550.227 ;1; $20.705.972 ;21;3;1;14
1;8;1007;45; $35.224.819 ;0; $20.377.230 ;15;1;1;22
1;9;1008;24; $35.363.719 ;1; $24.817.810 ;2;4;1;11
1;10;1009;21; $31.701.768 ;1; $18.567.051 ;7;5;1;27
1;11;1010;62; $15.496.281 ;1; $10.411.748 ;10;5;2;18
1;12;1011;61; $29.036.198 ;0; $11.807.693 ;15;2;1;6
1;13;1012;45; $14.581.034 ;1; $12.071.934 ;18;3;0;11
1;14;1013;48; $26.696.098 ;0; $39.870.823 ;10;1;2;31
1;15;1014;58; $35.475.501 ;1; $35.363.065 ;13;3;0;25
1;16;1015;25; $15.148.580 ;1; $19.364.374 ;11;2;2;5
0;17;1016;19; $19.775.762 ;0; $37.182.893 ;14;3;1;12
1;18;1017;58; $14.744.872 ;1; $30.639.028 ;17;2;0;7
1;19;1018;28; $32.015.577 ;0; $37.344.701 ;1;4;1;18
1;20;1019;53; $29.650.083 ;0; $33.061.851 ;25;5;0;32
1;21;1020;40; $27.625.326 ;0; $27.054.679 ;5;5;2;33
1;22;1021;58; $19.200.503 ;0; $23.778.502 ;24;4;2;12
1;23;1022;49; $26.667.371 ;0; $23.824.809 ;7;4;0;14
1;24;1023;59; $29.967.772 ;1; $38.758.479 ;1;4;1;17
